ft,bt,km,transmission,oem,modelYear,price,Insurance Validity,Seats,Ownership,Engine Displacement,Mileage,Max Power,City,Car age
Petrol,Hatchback,47784,Manual,HONDA,2014,397000,Third Party,5 Seats,Second Owner,1198,19.4,86.8,Hyderabad,11
Petrol,Hatchback,80643,Automatic,TOYOTA,2020,716000,Third Party,5 Seats,First Owner,1197,19.56,81.8,Hyderabad,5
Petrol,Sedan,48683,Manual,SKODA,2019,830000,Not Available,5 Seats,First Owner,1598,14.3,103.2,Hyderabad,6
Petrol,Hatchback,87908,Manual,MARUTI,2016,380000,Third Party,5 Seats,First Owner,998,20.51,67.04,Hyderabad,9
Petrol,Sedan,120000,Manual,CHEVROLET,2013,200000,Third Party,5 Seats,First Owner,1199,18.2,82.4,Hyderabad,12
Petrol,Hatchback,61822,Automatic,MARUTI,2016,460000,Comprehensive,5 Seats,First Owner,998,23.1,67.04,Hyderabad,9
Petrol,Hatchback,23748,Manual,MARUTI,2021,410000,Third Party,5 Seats,First Owner,796,22.05,47.33,Hyderabad,4
Petrol,Hatchback,120000,Manual,VOLKSWAGEN,2010,250000,Third Party,5 Seats,Second Owner,1198,16.47,73.9,Hyderabad,15
Petrol,Hatchback,84484,Automatic,MARUTI,2016,408000,Third Party,5 Seats,First Owner,998,20.51,67,Hyderabad,9
Petrol,Hatchback,10000,Automatic,RENAULT,2018,400000,Third Party,5 Seats,First Owner,999,24.04,67,Hyderabad,7
Petrol,Hatchback,10000,Automatic,RENAULT,2018,400000,Third Party,5 Seats,First Owner,999,24.04,67,Hyderabad,7
Petrol,Hatchback,60000,Automatic,MERCEDES-BENZ,2014,1100000,Third Party,5 Seats,First Owner,1595,11.9,120.7,Hyderabad,11
Petrol,Hatchback,70000,Manual,HYUNDAI,2011,310000,Third Party,5 Seats,Second Owner,1197,17,78.9,Hyderabad,14
Petrol,Hatchback,50000,Automatic,MARUTI,2018,650000,Third Party,5 Seats,Second Owner,1197,21.21,81.8,Hyderabad,7
Diesel,Hatchback,100000,Manual,TATA,2015,350000,Third Party,5 Seats,First Owner,1248,22.95,74,Hyderabad,10
Diesel,MUV,150000,Manual,TOYOTA,2005,304000,Third Party,8 Seats,First Owner,2494,12.8,102,Hyderabad,20
Petrol,SUV,40000,Manual,TATA,2018,750000,Third Party,5 Seats,Second Owner,1198,17,108.5,Hyderabad,7
Petrol,Hatchback,70145,Manual,MARUTI,2014,255000,Comprehensive,5 Seats,First Owner,796,22.05,47.33,Hyderabad,11
Petrol,SUV,70226,Manual,HONDA,2021,836000,Comprehensive,5 Seats,First Owner,1199,16.5,88.5,Hyderabad,4
Petrol,SUV,30000,Automatic,TATA,2021,1175000,Third Party,5 Seats,First Owner,1199,16.35,118.36,Hyderabad,4
Petrol,Hatchback,67993,Manual,MARUTI,2015,363000,Third Party,5 Seats,Second Owner,998,20.51,67.04,Hyderabad,10
Petrol,Hatchback,73224,Automatic,MARUTI,2018,729000,Comprehensive,5 Seats,Second Owner,1197,21.4,83.1,Hyderabad,7
Diesel,MUV,150000,Manual,TOYOTA,2016,1600000,Third Party,7 Seats,Second Owner,2393,13.68,147.8,Hyderabad,9
Petrol,Sedan,75199,Manual,HONDA,2017,773000,Comprehensive,5 Seats,Second Owner,1497,17.8,117.3,Hyderabad,8
Diesel,SUV,40000,Manual,JEEP,2018,1450000,Third Party,5 Seats,First Owner,1956,17.1,170,Hyderabad,7
Petrol,Hatchback,58671,Manual,MARUTI,2016,590000,Third Party,5 Seats,First Owner,1197,22.38,88.5,Hyderabad,9
Petrol,Hatchback,54187,Manual,MARUTI,2019,582000,Zero Dep,5 Seats,First Owner,1197,22.38,88.5,Hyderabad,6
Diesel,Sedan,43000,Automatic,MERCEDES-BENZ,2019,4850000,Third Party,5 Seats,First Owner,1950,16.1,191.7,Hyderabad,6
Petrol,Hatchback,63457,Manual,HYUNDAI,2014,552000,Comprehensive,5 Seats,Second Owner,1197,18.6,81.83,Hyderabad,11
Diesel,Sedan,117189,Manual,HONDA,2014,500000,Not Available,5 Seats,First Owner,1498,25.1,98.6,Hyderabad,11
Diesel,SUV,110000,Automatic,MAHINDRA SSANGYONG,2014,800000,Third Party,7 Seats,First Owner,2696,11.18,184,Hyderabad,11
Petrol,SUV,20000,Manual,TOYOTA,2021,950000,Third Party,5 Seats,First Owner,1462,17.03,103.26,Hyderabad,4
Petrol,SUV,12727,Manual,FORD,2020,820000,Not Available,5 Seats,First Owner,1496,15.9,120.69,Hyderabad,5
Diesel,SUV,70000,Manual,TATA,2017,1050000,Third Party,7 Seats,Second Owner,2179,17.6,153.86,Hyderabad,8
Petrol,Hatchback,50000,Manual,HYUNDAI,2009,180000,Third Party,5 Seats,First Owner,1086,17.92,62.1,Hyderabad,16
Petrol,SUV,20000,Manual,KIA,2022,1300000,Third Party,5 Seats,First Owner,998,18.2,118.36,Hyderabad,3
Petrol,Hatchback,58547,Manual,DATSUN,2019,341000,Comprehensive,5 Seats,Second Owner,799,22.7,53.64,Hyderabad,6
Petrol,Hatchback,70784,Manual,HYUNDAI,2018,708000,Third Party,5 Seats,First Owner,1197,17.19,81.86,Hyderabad,7
Diesel,SUV,80000,Automatic,JAGUAR,2018,3600000,Third Party,5 Seats,Second Owner,1999,16.38,177,Hyderabad,7
Petrol,Hatchback,94681,Manual,MARUTI,2014,367000,Comprehensive,5 Seats,Second Owner,1197,18.5,85.8,Hyderabad,11
Diesel,SUV,37421,Manual,MAHINDRA,2013,522000,Comprehensive,6 Seats,Second Owner,2498,16.55,105,Hyderabad,12
Petrol,SUV,40000,Automatic,MAHINDRA,2021,1500000,Third Party,4 Seats,First Owner,1997,16.44982928,150,Hyderabad,4
Diesel,Sedan,100456,Manual,SKODA,2016,765000,Third Party,5 Seats,First Owner,1498,21.13,108.6,Hyderabad,9
Petrol,Sedan,80000,Manual,HONDA,2008,250000,Third Party,5 Seats,Second Owner,1799,13.5,130,Hyderabad,17
Petrol,Hatchback,95036,Manual,MARUTI,2013,425000,Comprehensive,5 Seats,Second Owner,1197,22.38,88.5,Hyderabad,12
Petrol,Hatchback,96632,Manual,HYUNDAI,2015,260000,Comprehensive,5 Seats,Second Owner,814,21.1,55.2,Hyderabad,10
Petrol,Sedan,80000,Manual,HONDA,2008,250000,Third Party,5 Seats,Second Owner,1799,13.5,130,Hyderabad,17
Petrol,Hatchback,60976,Manual,MARUTI,2015,257000,Third Party,5 Seats,First Owner,796,22.05,47.33,Hyderabad,10
Petrol,Hatchback,120000,Manual,MARUTI,2001,69000,Third Party,5 Seats,First Owner,993,17.3,59.17,Hyderabad,24
Petrol,Hatchback,88046,Manual,CHEVROLET,2008,50000,Not Available,5 Seats,Third Owner,995,18,62,Hyderabad,17
Diesel,SUV,103000,Automatic,VOLVO,2016,1625000,Third Party,5 Seats,First Owner,1984,14.7,181,Hyderabad,9
Petrol,SUV,9800,Manual,JEEP,2019,1650000,Third Party,5 Seats,First Owner,1368,16,160,Hyderabad,6
Petrol,SUV,92000,Automatic,AUDI,2010,1150000,Third Party,5 Seats,First Owner,1984,9.74,208,Hyderabad,15
Petrol,MUV,59000,Manual,HONDA,2014,499000,Third Party,7 Seats,First Owner,1497,17.3,117.3,Hyderabad,11
Diesel,Sedan,93000,Manual,CHEVROLET,2013,315000,Third Party,5 Seats,First Owner,1248,22.1,74,Hyderabad,12
Petrol,SUV,10000,Automatic,TATA,2022,980000,Third Party,5 Seats,First Owner,1199,18.8,86.63,Hyderabad,3
Diesel,SUV,70451,Manual,MARUTI,2017,821000,Third Party,5 Seats,Second Owner,1248,24.3,88.5,Hyderabad,8
Petrol,Hatchback,73838,Automatic,MARUTI,2018,568000,Third Party,5 Seats,Second Owner,1197,22.56,88.5,Hyderabad,7
Petrol,SUV,20000,Automatic,HYUNDAI,2022,2100000,Third Party,6 Seats,First Owner,1999,14.2,156.9,Hyderabad,3
Petrol,Hatchback,22726,Manual,RENAULT,2020,446000,Third Party,5 Seats,First Owner,799,22.3,53.26,Hyderabad,5
Diesel,Hatchback,98700,Automatic,MARUTI,2017,555000,Third Party,5 Seats,Second Owner,1248,26.8,74,Hyderabad,8
Petrol,SUV,20000,Automatic,MG,2022,1850000,Third Party,5 Seats,First Owner,1349,14.34,138.08,Hyderabad,3
Diesel,Hatchback,97909,Manual,MARUTI,2018,559000,Comprehensive,5 Seats,Second Owner,1248,27.39,74,Hyderabad,7
Diesel,SUV,30000,Manual,FORD,2020,1050000,Third Party,5 Seats,First Owner,1498,21.7,98.96,Hyderabad,5
Petrol,Hatchback,77945,Manual,HYUNDAI,2013,412000,Comprehensive,5 Seats,Second Owner,1197,18.9,82,Hyderabad,12
Petrol,Sedan,86017,Manual,MARUTI,2017,615000,Comprehensive,5 Seats,First Owner,1197,21.21,81.8,Hyderabad,8
Diesel,SUV,20000,Manual,HYUNDAI,2021,1810000,Third Party,5 Seats,First Owner,1493,18.89352172,113.45,Hyderabad,4
Petrol,Hatchback,83596,Manual,MARUTI,2017,390000,Comprehensive,5 Seats,First Owner,998,20.51,67.04,Hyderabad,8
Petrol,Hatchback,80000,Manual,MARUTI,2004,70000,Third Party,4 Seats,Second Owner,796,16.1,37,Hyderabad,21
Petrol,Sedan,110000,Manual,CHEVROLET,2005,70000,Third Party,5 Seats,Second Owner,1599,17.4,102.56,Hyderabad,20
Petrol,Hatchback,40000,Manual,FORD,2019,560000,Third Party,5 Seats,First Owner,1194,19,94.68,Hyderabad,6
Petrol,Sedan,50000,Manual,MARUTI,2022,750000,Third Party,5 Seats,First Owner,1197,22.41,88.5,Hyderabad,3
Diesel,SUV,120000,Manual,TOYOTA,2001,170000,Third Party,10 Seats,Second Owner,2446,13.1,73.96,Hyderabad,24
Petrol,SUV,10000,Manual,MAHINDRA,2022,1320000,Third Party,5 Seats,First Owner,1197,16.82,108.62,Hyderabad,3
Diesel,Hatchback,100000,Manual,FORD,2015,220000,Third Party,5 Seats,First Owner,1498,25.83,99,Hyderabad,10
Diesel,SUV,79464,Manual,MARUTI,2018,850000,Not Available,5 Seats,First Owner,1248,25.1,88.5,Hyderabad,7
Petrol,Sedan,87113,Manual,MARUTI,2016,523000,Third Party,5 Seats,First Owner,1197,22.41,88.5,Hyderabad,9
Petrol,Sedan,52315,Manual,MARUTI,2015,583000,Comprehensive,5 Seats,First Owner,1197,22.41,88.5,Hyderabad,10
Petrol,SUV,10000,Automatic,MG,2020,1750000,Third Party,6 Seats,First Owner,1451,11.67,141,Hyderabad,5
Petrol,Hatchback,60817,Manual,HYUNDAI,2015,451000,Comprehensive,5 Seats,Second Owner,1197,18.9,82,Hyderabad,10
Diesel,Sedan,55797,Manual,HYUNDAI,2018,668000,Comprehensive,5 Seats,Second Owner,1186,25.4,73.97,Hyderabad,7
Diesel,Sedan,110000,Manual,HYUNDAI,2006,195000,Third Party,5 Seats,Second Owner,1493,16.8,110,Hyderabad,19
Diesel,SUV,64285,Manual,MARUTI,2017,824000,Third Party,5 Seats,First Owner,1248,24.3,88.5,Hyderabad,8
Diesel,Sedan,120000,Manual,SKODA,2006,160000,Third Party,5 Seats,Second Owner,1896,18.7,90,Hyderabad,19
Diesel,Sedan,85948,Automatic,MARUTI,2016,622000,Third Party,5 Seats,First Owner,1248,26.59,74,Hyderabad,9
Petrol,Sedan,105746,Manual,HONDA,2013,425000,Comprehensive,5 Seats,Third Owner,1497,16.8,116.4,Hyderabad,12
Petrol,MUV,100000,Manual,HONDA,2015,450000,Third Party,7 Seats,First Owner,1497,17.3,117.3,Hyderabad,10
Petrol,Sedan,45949,Manual,VOLKSWAGEN,2020,1020000,Third Party,5 Seats,First Owner,999,17.69,108.62,Hyderabad,5
Petrol,Sedan,92000,Manual,TOYOTA,2006,325000,Third Party,5 Seats,First Owner,1794,13.4,125,Hyderabad,19
Diesel,Sedan,83000,Automatic,AUDI,2012,1499000,Third Party,5 Seats,First Owner,1968,17.68,174.33,Hyderabad,13
Petrol,Hatchback,60000,Manual,HYUNDAI,2008,249000,Third Party,5 Seats,First Owner,1197,20.36,78.9,Hyderabad,17
Diesel,Hatchback,75000,Manual,HYUNDAI,2018,799000,Third Party,5 Seats,First Owner,1396,21.19,88.76,Hyderabad,7
Petrol,Hatchback,80000,Manual,MARUTI,2004,70000,Third Party,4 Seats,Second Owner,796,16.1,37,Hyderabad,21
Diesel,Hatchback,71000,Manual,MARUTI,2013,390000,Third Party,5 Seats,First Owner,1248,22.9,74,Hyderabad,12
Petrol,Sedan,84000,Manual,HYUNDAI,2015,580000,Third Party,5 Seats,First Owner,1591,17.01,121.3,Hyderabad,10
Petrol,Hatchback,110000,Manual,MARUTI,2018,380000,Third Party,5 Seats,First Owner,998,23.1,67.04,Hyderabad,7
Petrol,Hatchback,48659,Manual,HYUNDAI,2011,264000,Third Party,5 Seats,First Owner,1197,20.36,78.9,Hyderabad,14
Petrol,Hatchback,26970,Automatic,HYUNDAI,2019,531000,Third Party,5 Seats,First Owner,1086,20.3,68,Hyderabad,6
Petrol,Sedan,92000,Manual,MERCEDES-BENZ,2007,525000,Third Party,5 Seats,First Owner,1796,11.7,178,Hyderabad,18
Diesel,SUV,29766,Manual,TATA,2022,1024000,Third Party,5 Seats,First Owner,1497,23.22,113.42,Hyderabad,3
Petrol,Hatchback,6580,Manual,RENAULT,2022,552000,Comprehensive,5 Seats,First Owner,999,21.46,67.06,Hyderabad,3
Diesel,SUV,80000,Automatic,BMW,2011,950000,Third Party,5 Seats,Second Owner,1995,17.05,184,Hyderabad,14
Petrol,Hatchback,98910,Manual,MARUTI,2012,382000,Third Party,5 Seats,Second Owner,1197,22.38,88.5,Hyderabad,13
Diesel,SUV,80000,Automatic,BMW,2011,950000,Third Party,5 Seats,Second Owner,1995,17.05,184,Hyderabad,14
Petrol,Sedan,48247,Automatic,MARUTI,2017,715000,Third Party,5 Seats,First Owner,1373,19.12,91.1,Hyderabad,8
Petrol,Hatchback,54515,Manual,HONDA,2016,382000,Third Party,5 Seats,Second Owner,1198,19.4,86.8,Hyderabad,9
Diesel,SUV,10000,Manual,MARUTI,2018,860000,Third Party,5 Seats,Second Owner,1248,24.3,88.5,Hyderabad,7
Petrol,Hatchback,80546,Manual,MARUTI,2017,635000,Comprehensive,5 Seats,First Owner,1197,21.4,83.1,Hyderabad,8
Lpg,Hatchback,10000,Manual,MARUTI,2013,325000,Third Party,5 Seats,Second Owner,998,14.6,61.6,Hyderabad,12
Petrol,Hatchback,20000,Manual,MARUTI,2008,120000,Third Party,5 Seats,Second Owner,796,19.7,46.3,Hyderabad,17
Petrol,SUV,20000,Manual,TATA,2022,850000,Third Party,5 Seats,First Owner,1199,20.09,86.63,Hyderabad,3
Petrol,Sedan,10000,Automatic,SKODA,2022,1700000,Third Party,5 Seats,First Owner,999,18.07,113.98,Hyderabad,3
Petrol,Sedan,110000,Manual,TATA,2012,170000,Third Party,5 Seats,Third Owner,1368,13.7,88.8,Hyderabad,13
Petrol,Sedan,100000,Manual,HONDA,2006,200000,Third Party,5 Seats,Second Owner,2354,11.9,144,Hyderabad,19
Diesel,SUV,20000,Manual,MAHINDRA,2012,400000,Third Party,7 Seats,Second Owner,2179,12.05,120,Hyderabad,13
Diesel,SUV,20000,Manual,MAHINDRA,2012,400000,Third Party,7 Seats,Second Owner,2179,12.05,120,Hyderabad,13
Petrol,Hatchback,87773,Manual,HYUNDAI,2014,327000,Comprehensive,5 Seats,First Owner,1086,19.81,68.05,Hyderabad,11
Petrol,Sedan,81854,Manual,HONDA,2018,627000,Comprehensive,5 Seats,First Owner,1199,19.5,88.76,Hyderabad,7
Diesel,Hatchback,110000,Manual,MARUTI,2012,350000,Third Party,5 Seats,First Owner,1248,22.9,74,Hyderabad,13
Petrol,SUV,33090,Manual,TATA,2021,993000,Third Party,5 Seats,First Owner,1199,17.33,118.35,Hyderabad,4
Petrol,Sedan,76071,Manual,MARUTI,2016,550000,Third Party,5 Seats,Second Owner,1373,20.73,91.1,Hyderabad,9
Petrol,Hatchback,60000,Manual,RENAULT,2016,250000,Third Party,5 Seats,Third Owner,799,25.17,53.3,Hyderabad,9
Diesel,SUV,96529,Automatic,TATA,2021,1924000,Third Party,6 Seats,First Owner,1956,14.08,167.67,Hyderabad,4
Diesel,Sedan,110000,Manual,VOLKSWAGEN,2011,270000,Third Party,5 Seats,Second Owner,1598,20.54,103.6,Hyderabad,14
Diesel,SUV,89576,Manual,FORD,2017,669000,Comprehensive,5 Seats,Third Owner,1498,22.77,98.59,Hyderabad,8
Diesel,Sedan,88178,Manual,HYUNDAI,2020,1321000,Third Party,5 Seats,First Owner,1493,25,113.45,Hyderabad,5
Diesel,MUV,70000,Manual,MARUTI,2013,650000,Third Party,7 Seats,Second Owner,1248,20.77,88.76,Hyderabad,12
Petrol,Sedan,16925,Manual,HONDA,2021,706000,Third Party,5 Seats,First Owner,1199,18.6,88.5,Hyderabad,4
Petrol,Hatchback,12000,Manual,MARUTI,2013,245000,Third Party,5 Seats,First Owner,796,22.05,47.33,Hyderabad,12
Diesel,SUV,20000,Automatic,BMW,2018,5500000,Third Party,5 Seats,First Owner,1995,16.55,187.7,Hyderabad,7
Diesel,SUV,60000,Manual,MAHINDRA,2013,700000,Third Party,7 Seats,First Owner,2179,15.1,140,Hyderabad,12
Diesel,SUV,60000,Manual,MAHINDRA,2013,700000,Third Party,7 Seats,First Owner,2179,15.1,140,Hyderabad,12
Diesel,Sedan,50000,Automatic,JAGUAR,2014,2000000,Third Party,5 Seats,First Owner,2179,14.74,270.9,Hyderabad,11
Diesel,Sedan,120000,Automatic,BMW,2018,3500000,Third Party,5 Seats,Third Owner,1995,20.37,187.74,Hyderabad,7
Diesel,SUV,50000,Automatic,TATA,2019,850000,Third Party,5 Seats,Second Owner,1497,21.5,108.5,Hyderabad,6
Diesel,MUV,100000,Manual,TOYOTA,2015,1500000,Third Party,7 Seats,First Owner,2494,12.99,100.6,Hyderabad,10
Diesel,Hatchback,120000,Manual,HYUNDAI,2015,510000,Third Party,5 Seats,Second Owner,1396,22.54,88.73,Jaipur,10
Petrol,Hatchback,66951,Manual,MARUTI,2012,381000,Third Party,5 Seats,First Owner,1197,22.38,88.5,Jaipur,13
Petrol,Hatchback,80000,Automatic,MARUTI,2016,320000,Third Party,5 Seats,Second Owner,998,23.1,67.04,Jaipur,9
Petrol,Hatchback,44392,Manual,HYUNDAI,2017,420000,Third Party,5 Seats,First Owner,1197,18.9,81.86,Jaipur,8
Petrol,Hatchback,40000,Automatic,MARUTI,2016,350000,Third Party,5 Seats,First Owner,998,20.51,67,Jaipur,9
Diesel,Sedan,150000,Manual,HYUNDAI,2007,150000,Third Party,5 Seats,Second Owner,1493,16.8,110,Jaipur,18
Petrol,Sedan,91771,Manual,HYUNDAI,2016,489000,Comprehensive,5 Seats,Second Owner,1197,19.1,82,Jaipur,9
Diesel,Sedan,90000,Automatic,SKODA,2011,425000,Third Party,5 Seats,First Owner,1968,17.2,138.1,Jaipur,14
Diesel,SUV,58621,Automatic,BMW,2014,1375000,Comprehensive,5 Seats,First Owner,1995,17.05,184,Jaipur,11
Diesel,Sedan,90000,Automatic,SKODA,2011,450000,Third Party,5 Seats,First Owner,1968,17.2,138.1,Jaipur,14
Diesel,Hatchback,120000,Manual,HYUNDAI,2013,350000,Third Party,5 Seats,Third Owner,1396,21.9,88.76,Jaipur,12
Diesel,Sedan,120000,Manual,TATA,2017,449000,Third Party,5 Seats,First Owner,1248,22.95,74,Jaipur,8
Petrol,Hatchback,53165,Automatic,HYUNDAI,2011,295000,Comprehensive,5 Seats,First Owner,1197,16.95,78.9,Jaipur,14
Diesel,Sedan,13500,Automatic,BMW,2020,5890000,Comprehensive,5 Seats,First Owner,1995,20.37,187.74,Jaipur,5
Diesel,Sedan,44210,Automatic,BMW,2020,10500000,Comprehensive,5 Seats,First Owner,2993,16.77,261.49,Jaipur,5
Diesel,Sedan,63255,Automatic,SKODA,2017,1990000,Comprehensive,5 Seats,First Owner,1984,18.19,174.5,Jaipur,8
Diesel,Sedan,79215,Manual,MARUTI,2015,475000,Third Party,5 Seats,First Owner,1248,26.59,74,Jaipur,10
Petrol,SUV,200,Automatic,HYUNDAI,2023,2000000,Third Party,5 Seats,First Owner,1497,18.87412734,113.18,Jaipur,2
Petrol,SUV,40000,Manual,MAHINDRA,2019,900000,Third Party,5 Seats,First Owner,1197,17,110,Jaipur,6
Petrol,SUV,40000,Automatic,TATA,2021,950000,Third Party,5 Seats,First Owner,1199,17.05,118.35,Jaipur,4
Diesel,SUV,60000,Manual,TATA,2020,1900000,Third Party,5 Seats,First Owner,1956,16.35,167.67,Jaipur,5
Petrol,Sedan,92721,Manual,VOLKSWAGEN,2017,436000,Third Party,5 Seats,First Owner,1198,17,73.75,Jaipur,8
Diesel,SUV,90000,Manual,HYUNDAI,2016,1000000,Third Party,5 Seats,First Owner,1582,19.67,126.2,Jaipur,9
Petrol,Hatchback,34644,Manual,VOLKSWAGEN,2012,252000,Third Party,5 Seats,First Owner,1198,16.47,73.9,Jaipur,13
Petrol,Hatchback,23000,Manual,MARUTI,2021,685000,Comprehensive,5 Seats,Second Owner,1197,21.01,81.8,Jaipur,4
Petrol,Sedan,100000,Manual,HONDA,2015,550000,Third Party,5 Seats,First Owner,1497,17.4,117.3,Jaipur,10
Diesel,Sedan,95000,Automatic,HONDA,2018,699000,Comprehensive,5 Seats,Second Owner,1498,23.8,78.9,Jaipur,7
Diesel,Sedan,69000,Manual,MARUTI,2018,750000,Comprehensive,5 Seats,First Owner,1248,28.4,74.02,Jaipur,7
Petrol,Hatchback,22000,Manual,MARUTI,2018,325000,Comprehensive,5 Seats,First Owner,796,24.7,47.3,Jaipur,7
Diesel,Sedan,85000,Automatic,BMW,2012,1300000,Third Party,5 Seats,Second Owner,1995,18.48,177,Jaipur,13
Diesel,SUV,90000,Automatic,SKODA,2017,2250000,Third Party,7 Seats,Second Owner,1968,16.25,148,Jaipur,8
Diesel,SUV,82243,Automatic,BMW,2017,4600000,Comprehensive,5 Seats,First Owner,2993,15.3,258,Jaipur,8
Petrol,Hatchback,63000,Manual,HYUNDAI,2013,375000,Comprehensive,5 Seats,Second Owner,1197,18.5,82.85,Jaipur,12
Diesel,Hatchback,77177,Manual,MARUTI,2016,560000,Comprehensive,5 Seats,First Owner,1248,27.39,74,Jaipur,9
Diesel,Sedan,28368,Manual,VOLKSWAGEN,2011,590000,Comprehensive,5 Seats,First Owner,1598,20.54,103.6,Jaipur,14
Petrol,SUV,40000,Manual,RENAULT,2022,555000,Third Party,5 Seats,First Owner,999,19.17,71.01,Jaipur,3
Petrol,SUV,9690,Automatic,BMW,2022,4200000,Comprehensive,5 Seats,First Owner,1998,14.82,189.08,Jaipur,3
Petrol,Hatchback,40000,Manual,TATA,2011,60000,Third Party,4 Seats,Second Owner,624,26,35,Jaipur,14
Petrol,Hatchback,40000,Manual,MARUTI,2019,600000,Third Party,5 Seats,First Owner,1197,21.21,81.8,Jaipur,6
Petrol,Hatchback,80000,Manual,HYUNDAI,2011,170000,Third Party,5 Seats,Second Owner,814,21.1,55.2,Jaipur,14
Diesel,Hatchback,62761,Manual,VOLKSWAGEN,2014,343000,Comprehensive,5 Seats,First Owner,1199,22.07,73.9,Jaipur,11
Petrol,Hatchback,45075,Manual,MARUTI,2019,544000,Zero Dep,5 Seats,First Owner,1197,20.52,81.8,Jaipur,6
Petrol,SUV,36882,Manual,MAHINDRA,2021,990000,Comprehensive,5 Seats,First Owner,1197,16.82,108.62,Jaipur,4
Petrol,Hatchback,82030,Manual,HYUNDAI,2015,469000,Comprehensive,5 Seats,First Owner,1197,18.9,82,Jaipur,10
Petrol,Hatchback,31469,Automatic,MARUTI,2017,716000,Third Party,5 Seats,First Owner,1197,21.4,83.1,Jaipur,8
Petrol,SUV,20000,Manual,MARUTI,2022,1000000,Third Party,5 Seats,First Owner,1462,18.55,103.25,Jaipur,3
Petrol,Hatchback,70000,Manual,CHEVROLET,2010,150000,Third Party,5 Seats,Third Owner,995,18,62,Jaipur,15
Diesel,Hatchback,120000,Manual,HYUNDAI,2014,305000,Third Party,5 Seats,First Owner,1396,21.9,88.76,Jaipur,11
Diesel,Sedan,120000,Manual,MARUTI,2017,550000,Third Party,5 Seats,Second Owner,1248,26.59,74,Jaipur,8
Diesel,SUV,90000,Automatic,AUDI,2014,1300000,Third Party,5 Seats,Third Owner,1968,15.73,174.33,Jaipur,11
Petrol,Hatchback,70000,Manual,HONDA,2012,290000,Third Party,5 Seats,Fifth Owner,1198,19.4,86.8,Jaipur,13
Diesel,Sedan,90000,Manual,HYUNDAI,2013,550000,Third Party,5 Seats,Second Owner,1582,22.32,126.32,Jaipur,12
Lpg,Sedan,100000,Manual,HYUNDAI,2011,210000,Third Party,5 Seats,Second Owner,1495,13.2,93.7,Jaipur,14
Petrol,MUV,70000,Manual,MARUTI,2020,910000,Third Party,6 Seats,First Owner,1462,19.01,103.2,Jaipur,5
Petrol,Hatchback,80000,Manual,MARUTI,2010,225000,Third Party,5 Seats,First Owner,1061,18.9,67,Jaipur,15
Petrol,Hatchback,43336,Manual,HYUNDAI,2018,725000,Comprehensive,5 Seats,First Owner,1197,18.6,81.86,Jaipur,7
Diesel,MUV,120000,Manual,MAHINDRA,2018,570000,Third Party,8 Seats,Second Owner,1497,17.3,121,Jaipur,7
Petrol,Sedan,40000,Automatic,HONDA,2020,1200000,Third Party,5 Seats,Second Owner,1498,18.3,119.35,Jaipur,5
Petrol,SUV,90000,Manual,TATA,2018,721000,Third Party,5 Seats,Second Owner,1198,17,108.5,Jaipur,7
Petrol,Hatchback,21659,Manual,HONDA,2021,775000,Third Party,5 Seats,First Owner,1199,17.1,88.5,Jaipur,4
Diesel,SUV,80000,Manual,MARUTI,2017,740000,Third Party,5 Seats,First Owner,1248,24.3,88.5,Jaipur,8
Petrol,Hatchback,63662,Automatic,MARUTI,2018,732000,Third Party,5 Seats,First Owner,1197,21.4,83.1,Jaipur,7
Diesel,MUV,120000,Manual,TOYOTA,2012,650000,Comprehensive,8 Seats,Second Owner,2494,12.99,100,Jaipur,13
Diesel,Sedan,82058,Automatic,JAGUAR,2019,5890000,Comprehensive,5 Seats,First Owner,2993,14.47,301.73,Jaipur,6
Diesel,SUV,67847,Manual,MARUTI,2019,850000,Comprehensive,5 Seats,First Owner,1248,25.1,88.5,Jaipur,6
Diesel,SUV,59627,Automatic,KIA,2020,1650000,Comprehensive,5 Seats,First Owner,1493,18,113.43,Jaipur,5
Diesel,SUV,20000,Automatic,TATA,2022,2150000,Third Party,5 Seats,First Owner,1956,14.6,167.67,Jaipur,3
Diesel,SUV,50000,Manual,MAHINDRA,2013,500000,Third Party,7 Seats,First Owner,2179,15.1,140,Jaipur,12
Diesel,Sedan,110000,Manual,MARUTI,2011,250000,Third Party,5 Seats,Second Owner,1248,19.3,73.9,Jaipur,14
Petrol,Sedan,20000,Manual,SKODA,2022,1473000,Third Party,5 Seats,First Owner,999,19.47,113.98,Jaipur,3
Diesel,Sedan,100000,Manual,MARUTI,2018,650000,Third Party,5 Seats,Fourth Owner,1248,28.4,74.02,Jaipur,7
Petrol,Sedan,80000,Manual,MARUTI,2009,175000,Third Party,5 Seats,Second Owner,1586,15.5,103.3,Jaipur,16
Diesel,SUV,76800,Manual,FORD,2018,750000,Third Party,5 Seats,First Owner,1498,21.7,98.96,Jaipur,7
Petrol,Hatchback,71711,Automatic,MARUTI,2017,690000,Comprehensive,5 Seats,First Owner,1197,21.4,83.1,Jaipur,8
Petrol,Hatchback,28406,Manual,MARUTI,2019,714000,Zero Dep,5 Seats,First Owner,1197,21.4,83.1,Jaipur,6
Petrol,Sedan,50000,Automatic,SKODA,2020,2680000,Third Party,5 Seats,First Owner,1798,14.67,177.46,Jaipur,5
