ft,bt,km,transmission,oem,modelYear,price,Insurance Validity,Seats,Ownership,Engine Displacement,Mileage,Max Power,City,Car age
Petrol,Hatchback,80000,Manual,HYUNDAI,2009,249000,Third Party,5 Seats,Third Owner,1197,20.36,78.9,Bangalore,16
Petrol,Hatchback,52204,Manual,MARUTI,2017,385000,Third Party,5 Seats,First Owner,998,24.39,65.71,Bangalore,8
Petrol,Hatchback,110000,Manual,HYUNDAI,2012,300000,Third Party,5 Seats,Third Owner,1197,17,78.9,Bangalore,13
Diesel,SUV,89000,Automatic,FORD,2017,2975000,Third Party,7 Seats,First Owner,3198,10.91,197,Bangalore,8
Petrol,Hatchback,29813,Manual,MARUTI,2014,276000,Comprehensive,5 Seats,Second Owner,796,22.05,47.33,Bangalore,11
Petrol,Hatchback,30000,Manual,FORD,2018,500000,Third Party,5 Seats,First Owner,1196,18.16,86.8,Bangalore,7
Petrol,Hatchback,13345,Automatic,MARUTI,2020,730000,Comprehensive,5 Seats,First Owner,1197,20.89,81.8,Bangalore,5
Diesel,SUV,17100,Automatic,HYUNDAI,2022,2245000,Comprehensive,7 Seats,First Owner,1498,18.1,113.42,Bangalore,3
Petrol,Hatchback,75000,Manual,HYUNDAI,2014,399000,Comprehensive,5 Seats,First Owner,1197,18.9,82,Bangalore,11
Petrol,Hatchback,75523,Manual,HYUNDAI,2011,312000,Comprehensive,5 Seats,Second Owner,1197,20.36,78.9,Bangalore,14
Diesel,SUV,47000,Manual,MAHINDRA,2015,1275000,Comprehensive,7 Seats,First Owner,2179,16,140,Bangalore,10
Diesel,SUV,36500,Manual,TATA,2022,1990000,Comprehensive,5 Seats,First Owner,1956,16.35,167.67,Bangalore,3
Petrol,MUV,28253,Manual,RENAULT,2020,719000,Comprehensive,7 Seats,First Owner,999,20,71.01,Bangalore,5
Diesel,SUV,50000,Manual,HYUNDAI,2016,1260000,Third Party,5 Seats,First Owner,1582,19.67,126.2,Bangalore,9
